County_of_Residence,State,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_Birth_Weight_gms
San Diego County,CA,40070,30.31,38.64,3300.06
Somerset County,NJ,3210,31.77,38.54,3269.56
Delaware County,OH,2106,31.54,38.54,3343.93
Franklin County,PA,1745,28.21,38.52,3316.95
Miami County,OH,1180,28.09,38.6,3365.25
Pinellas County,FL,8126,29.36,38.51,3279.11
Arlington County,VA,2937,32.6,38.74,3334.08
Adams County,PA,916,28.48,38.73,3372.7
Marion County,OR,4183,28.32,38.64,3348.2
La Crosse County,WI,1176,29.47,38.97,3388.84
Carroll County,MD,1776,30.19,38.71,3395.24
Florence County,SC,1616,27.62,38.07,3124.04
Mobile County,AL,5549,27.25,37.95,3129.31
Ector County,TX,3000,26.45,37.93,3151.47
Douglas County,GA,1700,28.58,38.15,3157.22
Mahoning County,OH,2344,27.9,38.09,3158.59
Aiken County,SC,1897,27.81,38.24,3213.45
Hall County,GA,2496,27.87,38.46,3317.75
Racine County,WI,2271,28.3,38.29,3253.09
Guilford County,NC,6115,28.82,38.37,3223.01
Baltimore County,MD,9787,29.92,38.36,3233.33
Butler County,OH,4472,28.6,38.35,3276.42
District of Columbia,DC,9212,30.85,38.51,3205.47
Unidentified Counties,MD,5451,28.55,38.56,3307.82
Mesa County,CO,1655,27.89,38.55,3194.48
Unidentified Counties,AK,6111,28.2,38.62,3425.55
